Field group,Field name,API name,Field class,Description,Sample Data,Format,Part of main raw data report schema,Report delivery method,Push API,Data Locker,Export data/Pull API
Attribution,Sub parameter 5,sub_param_5,Adjust attribution,Custom sub parameter 5 from attribution link,geo_vn,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Cost model,cost_model,Adjust attribution,Cost model from source network,CPI,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Cost value,cost_value,Adjust attribution,Cost value reported by source network,3.2500,Decimal string,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Cost currency,cost_currency,Adjust attribution,Cost currency code,USD,ISO-4217,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,HTTP referrer,http_referrer,Adjust attribution,Referrer URL for click request,https://example.com/referrer,String URL,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Advertising ID,advertising_id,Adjust SDK,Resettable advertising id such as GAID,38400000-8cf0-11bd-b23e-10b96e40000d,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,IDFA,idfa,Adjust SDK,Apple advertising identifier,00000000-0000-0000-0000-000000000000,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,IDFV,idfv,Adjust SDK,Apple vendor identifier,A1B2C3D4-E5F6-7890-1234-56789ABCDEFF,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Platform,platform,Adjust SDK,Device platform,iOS,Enum,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Device type,device_type,Adjust SDK,Device category,phone,Enum,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,OS version,os_version,Adjust SDK,Operating system version,18.5,String,Yes,Simulator CSV export,N/A,N/A,Yes
App,App version,app_version,Adjust SDK,Application version string,1.2.3,String,Yes,Simulator CSV export,N/A,N/A,Yes
App,SDK version,sdk_version,Adjust SDK,Adjust SDK version,6.14.1,String,Yes,Simulator CSV export,N/A,N/A,Yes
App,App ID,app_id,Adjust SDK,Adjust app token or app identifier,com.example.app,String,Yes,Simulator CSV export,N/A,N/A,Yes
App,App name,app_name,Adjust SDK,Application name,Sample App,String,Yes,Simulator CSV export,N/A,N/A,Yes
App,Bundle ID,bundle_id,Adjust SDK,iOS bundle id or Android package id,com.example.app,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Google Play broadcast referrer,gp_broadcast_referrer,Store referrer,Google Play broadcast referrer raw value,utm_source=google,String,Yes,Simulator CSV export,N/A,N/A,Yes
Protect360,Blocked reason,blocked_reason,Protect360,Fraud block reason if available,install_hijacking,String,Yes,Simulator CSV export,N/A,N/A,Yes
Protect360,Blocked reason value,blocked_reason_value,Protect360,Additional block reason context,site_id_123,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Operator,operator,Adjust SDK,Network operator from device,Viettel,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Carrier,carrier,Adjust SDK,Carrier name from device,Viettel,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Network type,network_type,Adjust SDK,Connection type such as wifi or cellular,wifi,Enum,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,WiFi,wifi,Adjust SDK,Whether device used WiFi,true,Boolean,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Language,language,Adjust SDK,Device locale language,vi-VN,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device location,Country code,country_code,Geo from IP,Country code derived from IP,VN,ISO-3166-1 alpha-2,Yes,Simulator CSV export,N/A,N/A,Yes
Device location,State,state,Geo from IP,State or province derived from IP,Ho Chi Minh,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device location,City,city,Geo from IP,City derived from IP,Ho Chi Minh City,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device location,Postal code,postal_code,Geo from IP,Postal code derived from IP,700000,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device location,IP,ip,Geo from IP,IPv4 or IPv6 address,203.0.113.10,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,User agent short,ua,Adjust SDK,User agent captured by ingestion pipeline,Mozilla/5.0,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,WiFi MAC address,wifi_mac_address,Adjust SDK,WiFi MAC address if available,11:22:33:44:55:66,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,IMEI,imei,Adjust SDK,Device IMEI if available,490154203237518,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Android ID,android_id,Adjust SDK,Android device id,a1b2c3d4e5f6a7b8,String,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Customer user ID,customer_user_id,Adjust SDK,App owned customer identifier,user_12345,String,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Is retargeting,is_retargeting,Adjust attribution,Whether event is under retargeting,false,Boolean,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Reattribution touch time,reattr_touch_time,Adjust attribution,Retargeting touch timestamp,2026-08-08 10:15:00,DateTime,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Reattribution touch type,reattr_touch_type,Adjust attribution,Retargeting touch type,click,Enum,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Is primary attribution,is_primary_attribution,Adjust attribution,Primary attribution flag,true,Boolean,Yes,Simulator CSV export,N/A,N/A,Yes
Privacy,ATT status,att,Adjust SDK,iOS ATT status,authorized,Enum,Yes,Simulator CSV export,N/A,N/A,Yes
Attribution,Conversion type,conversion_type,Adjust attribution,Conversion classification,install,Enum,Yes,Simulator CSV export,N/A,N/A,Yes
Event,Event time,event_time,Adjust event,Timestamp when event occurred,2026-08-05 15:00:00,DateTime,Yes,Simulator CSV export,N/A,N/A,Yes
Event,Event name,event_name,Adjust event,In app event name or lifecycle event,login,String,Yes,Simulator CSV export,N/A,N/A,Yes
Event,Event value,event_value,Adjust event,JSON payload for event details,{"trigger":"retargeting"},JSON string,Yes,Simulator CSV export,N/A,N/A,Yes
Device info,Adjust device ID official name,adid,Adjust SDK official terminology,Official Adjust device identifier name not emitted by current simulator,123456789012345678901234, String,No,Official term reference,N/A,N/A,No
